Rank,Release Group,Worldwide,Domestic,%,Foreign,%
296,Yaadein...,"$1,093,819","$1,000,229",91.4%,"$93,590",8.6%
297,The Man Who Cried,"$1,090,432","$747,092",68.5%,"$343,340",31.5%
298,When Brendan Met Trudy,"$1,069,648","$133,376",12.5%,"$936,272",87.5%
299,"Dummy Mommy, Without a Baby","$1,065,895",-,-,"$1,065,895",100%
300,All Over the Guy,"$1,051,948","$1,022,324",97.2%,"$29,624",2.8%
301,Extremedays,"$1,047,553","$1,047,553",100%,-,-
302,Jan Dara,"$1,046,362",-,-,"$1,046,362",100%
303,One Hand Clapping,"$1,031,102",-,-,"$1,031,102",100%
304,2002,"$1,027,949",-,-,"$1,027,949",100%
305,"The Bread, My Sweet","$1,023,156","$1,023,156",100%,-,-
306,The Princess and the Warrior,"$1,004,858","$872,091",86.8%,"$132,767",13.2%
307,All Access: Front Row. Backstage. Live!,"$992,683","$992,683",100%,-,-
308,An American Rhapsody,"$970,676","$850,255",87.6%,"$120,421",12.4%
309,Vizontele,"$968,318",-,-,"$968,318",100%
310,The Pool,"$963,010",-,-,"$963,010",100%
311,Momo,"$928,169",-,-,"$928,169",100%
312,Faithless,"$918,033","$739,055",80.5%,"$178,978",19.5%
313,Pretty Things,"$913,068",-,-,"$913,068",100%
314,A Song for Martin,"$900,626","$27,983",3.1%,"$872,643",96.9%
315,Replicant,"$894,844",-,-,"$894,844",100%
316,Lajja,"$871,706","$376,000",43.1%,"$495,706",56.9%
317,Jalla! Jalla!,"$871,351",-,-,"$871,351",100%
318,Battle Royale,"$861,959",-,-,"$861,959",100%
319,Brigham City,"$852,206","$852,206",100%,-,-
320,Don't Be a Menace to South Central While Drinking Your Juice in the Hood 2001 Re-release,"$840,486",-,-,"$840,486",100%
321,Blow Dry,"$830,286","$637,769",76.8%,"$192,517",23.2%
322,Behind the Sun,"$805,755","$19,861",2.5%,"$785,894",97.5%
323,About Adam,"$802,951","$159,668",19.9%,"$643,283",80.1%
324,As Far as My Feet Will Carry Me,"$801,622",-,-,"$801,622",100%
325,The Xango from Baker Street,"$789,638",-,-,"$789,638",100%
326,Trembling Before G-d,"$788,896","$788,896",100%,-,-
327,Fat Girl,"$765,705","$725,854",94.8%,"$39,851",5.2%
328,Texas Rangers,"$763,740","$623,374",81.6%,"$140,366",18.4%
329,Bread and Roses,"$706,876","$533,479",75.5%,"$173,397",24.5%
330,Bully,"$704,808","$480,811",68.2%,"$223,997",31.8%
331,Happy Accidents,"$688,523","$688,523",100%,-,-
332,The Caveman's Valentine,"$687,194","$687,194",100%,-,-
333,The Abrafaxe: Under the Black Flag,"$675,025",-,-,"$675,025",100%
334,Alias Betty,"$667,087","$208,400",31.2%,"$458,687",68.8%
335,Focus,"$645,418","$645,418",100%,-,-
336,Dinner Rush,"$634,566","$634,566",100%,-,-
337,The Trumpet of the Swan,"$628,387","$102,202",16.3%,"$526,185",83.7%
338,Rebels,"$626,051",-,-,"$626,051",100%
339,Our Lady of the Assassins,"$624,525","$525,330",84.1%,"$99,195",15.9%
340,The Grey Zone,"$621,592","$517,872",83.3%,"$103,720",16.7%
341,Yau ching yam shui baau,"$607,104",-,-,"$607,104",100%
342,The Fluffer,"$599,523","$563,373",94%,"$36,150",6%
343,My First Mister,"$595,005","$568,762",95.6%,"$26,243",4.4%
344,Monas verden,"$592,858",-,-,"$592,858",100%
345,Forgive Me Father,"$582,787","$582,787",100%,-,-
346,Caramuru: The Invention of Brazil,"$571,291",-,-,"$571,291",100%
347,Me You Them,"$560,943","$323,923",57.7%,"$237,020",42.3%
348,Big Head Monster,"$545,079",-,-,"$545,079",100%
349,The Shaft,"$535,658",-,-,"$535,658",100%
350,Funeral March,"$524,286",-,-,"$524,286",100%
351,The Circle 2001 Re-release,"$519,354","$440,554",84.8%,"$78,800",15.2%
352,To the Left of the Father,"$518,908",-,-,"$518,908",100%
353,Aida of the Trees,"$516,712",-,-,"$516,712",100%
354,Big Eden,"$512,451","$512,451",100%,-,-
355,Karmina 2,"$508,969","$508,969",100%,-,-
