Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,339,528","$372,755",<0.1%,"$460,966,773",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
4,Tenet,"$362,929,000","$57,929,000",16%,"$305,000,000",84%
5,Demon Slayer the Movie: Mugen Train,"$340,100,754",-,-,"$340,100,754",100%
6,Sonic the Hedgehog,"$313,597,095","$148,974,665",47.5%,"$164,622,430",52.5%
7,Dolittle,"$245,303,780","$77,047,065",31.4%,"$168,256,715",68.6%
8,Legend of Deification,"$240,654,967","$214,670",<0.1%,"$240,440,297",99.9%
9,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
10,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
11,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
12,Onward,"$141,936,908","$61,555,145",43.4%,"$80,381,763",56.6%
13,Wonder Woman 1984,"$131,400,000","$32,600,000",24.8%,"$98,800,000",75.2%
14,The Croods: A New Age,"$127,825,650","$36,875,650",28.8%,"$90,950,000",71.2%
15,The Call of the Wild,"$110,954,519","$62,342,368",56.2%,"$48,612,151",43.8%
16,Shock Wave 2,"$97,898,213",-,-,"$97,898,213",100%
17,Caught in Time,"$80,541,869",-,-,"$80,541,869",100%
18,A Little Red Flower,"$80,100,000",-,-,"$80,100,000",100%
19,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
20,Mulan,"$66,800,000",-,-,"$66,800,000",100%
21,The Rescue,"$63,081,866","$18,797",<0.1%,"$63,063,069",100%
22,Love You Forever,"$60,644,887",-,-,"$60,644,887",100%
23,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
24,Vanguard,"$50,746,416","$793,525",1.6%,"$49,952,891",98.4%
25,Warm Hug,"$50,200,000",-,-,"$50,200,000",100%
26,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
27,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
28,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
29,Greenland,"$47,800,000",-,-,"$47,800,000",100%
30,Soul,"$47,300,000",-,-,"$47,300,000",100%
31,The New Mutants,"$46,647,412","$23,852,659",51.1%,"$22,794,753",48.9%
32,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
33,Trolls World Tour,"$44,777,000",-,-,"$44,777,000",100%
