Rank,Release Group,Worldwide,Domestic,%,Foreign,%
34,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
35,Unhinged,"$42,831,465","$20,831,465",48.6%,"$22,000,000",51.4%
36,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
37,Train to Busan Presents: Peninsula,"$40,696,949","$1,231,407",3%,"$39,465,542",97%
38,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
39,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
40,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
41,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
42,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
43,Doraemon the Movie: Nobita's New Dinosaur,"$33,364,989",-,-,"$33,364,989",100%
44,The War with Grandpa,"$33,052,806","$19,058,378",57.7%,"$13,994,428",42.3%
45,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
46,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
47,New Interpretation Records of the Three Kingdoms,"$29,636,908",-,-,"$29,636,908",100%
48,Honest Thief,"$29,458,622","$14,163,574",48.1%,"$15,295,048",51.9%
49,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
50,The Witches,"$26,400,000",-,-,"$26,400,000",100%
51,Emma.,"$25,937,008","$10,055,355",38.8%,"$15,881,653",61.2%
52,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
53,Scoob!,"$24,900,000",-,-,"$24,900,000",100%
54,Interstellar 2020 Re-release,"$23,848,611",-,-,"$23,848,611",100%
55,Stand by Me Doraemon 2,"$23,584,135",-,-,"$23,584,135",100%
56,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
57,Stigmatized Properties,"$21,204,112",-,-,"$21,204,112",100%
58,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
59,Yarn,"$20,444,185",-,-,"$20,444,185",100%
60,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
61,Violet Evergarden: The Movie,"$19,977,954",-,-,"$19,977,954",100%
62,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
63,Soul Snatcher,"$19,548,161",-,-,"$19,548,161",100%
64,The Turning,"$19,429,329","$15,472,775",79.6%,"$3,956,554",20.4%
65,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,083,198","$200,000",1%,"$18,883,198",99%
66,How the Grinch Stole Christmas 2020 Re-release,"$18,455,781","$420,180",2.3%,"$18,035,601",97.7%
67,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
68,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
69,Digimon Adventure: Last Evolution Kizuna,"$17,040,162",-,-,"$17,040,162",100%
70,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
71,Takizawa Enbujo Zero,"$16,496,494",-,-,"$16,496,494",100%
72,I Still Believe,"$16,021,491","$9,868,521",61.6%,"$6,152,970",38.4%
73,Freaky,"$15,030,845","$8,830,845",58.8%,"$6,200,000",41.2%
74,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
75,Nightlife,"$14,203,842",-,-,"$14,203,842",100%
76,Pawn,"$14,191,042",-,-,"$14,191,042",100%
77,The Personal History of David Copperfield,"$14,100,396","$1,876,298",13.3%,"$12,224,098",86.7%
78,Monster Hunter,"$13,589,202","$7,805,410",57.4%,"$5,783,792",42.6%
79,#Alive,"$13,416,285",-,-,"$13,416,285",100%
80,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
81,Collectors,"$12,811,938",-,-,"$12,811,938",100%
82,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
83,The Promised Neverland,"$12,196,489",-,-,"$12,196,489",100%
84,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
85,Come Play,"$12,069,847","$9,680,000",80.2%,"$2,389,847",19.8%
86,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
87,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
88,Padre no hay más que uno 2: La llegada de la suegra,"$11,700,000",-,-,"$11,700,000",100%
89,The Hunt,"$11,217,552","$5,812,500",51.8%,"$5,405,052",48.2%
90,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
91,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
92,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
93,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
94,One Second,"$10,600,000",-,-,"$10,600,000",100%
95,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
96,Let Him Go,"$10,434,358","$9,358,025",89.7%,"$1,076,333",10.3%
97,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
98,My Spy,"$10,200,000",-,-,"$10,200,000",100%
99,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
100,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
101,10 Days with Dad,"$9,463,676",$856,<0.1%,"$9,462,820",100%
102,365 Days,"$9,458,590",-,-,"$9,458,590",100%
103,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
104,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
105,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
106,Pokémon the Movie: Secrets of the Jungle,"$9,154,717",-,-,"$9,154,717",100%
107,Bigfoot Family,"$9,111,723",-,-,"$9,111,723",100%
108,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
109,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
110,The Closet,"$8,948,595",-,-,"$8,948,595",100%
111,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
112,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
113,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
114,30 jours max,"$8,811,671",-,-,"$8,811,671",100%
115,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
116,Eiga Entotsu Machi no Poupelle,"$8,486,388",-,-,"$8,486,388",100%
117,Malang,"$8,399,765",-,-,"$8,399,765",100%
118,Malasaña 32,"$8,235,066",-,-,"$8,235,066",100%
119,The Secret Garden,"$8,224,841",-,-,"$8,224,841",100%
120,Your Eyes Tell,"$8,005,317",-,-,"$8,005,317",100%
121,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
122,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
123,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
124,Spirited Away Studio Ghibli Fest 2020,"$7,730,108",-,-,"$7,730,108",100%
125,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
126,Neposredstvenno Kakha,"$7,646,385",-,-,"$7,646,385",100%
127,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
128,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
129,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
130,De Gaulle,"$7,145,454",-,-,"$7,145,454",100%
131,News of the World,"$7,100,970","$7,100,970",100%,-,-
132,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
133,Adu,"$7,085,946",-,-,"$7,085,946",100%
134,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
135,Spycies,"$6,975,642",-,-,"$6,975,642",100%
136,Jim Button and the Wild 13,"$6,951,743",-,-,"$6,951,743",100%
137,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
138,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
139,Tiec Trang Mau,"$6,709,383",-,-,"$6,709,383",100%
140,Innocence,"$6,659,968",-,-,"$6,659,968",100%
141,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
142,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
143,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
144,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
145,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
146,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
147,"Love Me, Love Me Not","$6,352,692",-,-,"$6,352,692",100%
148,Tout simplement noir,"$6,323,750",-,-,"$6,323,750",100%
149,"My Donkey, My Lover & I","$6,299,870",-,-,"$6,299,870",100%
150,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
151,Bill & Ted Face the Music,"$6,267,091","$3,439,660",54.9%,"$2,827,431",45.1%
152,Hotel Belgrade,"$6,085,276",-,-,"$6,085,276",100%
153,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
154,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
155,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
156,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
157,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
158,How to Be a Good Wife,"$5,800,638",-,-,"$5,800,638",100%
159,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
160,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
161,Last Letter,"$5,588,040",-,-,"$5,588,040",100%
162,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
163,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
164,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
165,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
166,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
167,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
168,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
169,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
170,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
171,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
172,Mayday,"$5,011,408",-,-,"$5,011,408",100%
173,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
174,Tengaramon,"$4,983,707",-,-,"$4,983,707",100%
175,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
176,Streltsov,"$4,952,355",-,-,"$4,952,355",100%
177,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
178,Mama Weed,"$4,827,033",-,-,"$4,827,033",100%
179,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
180,The Vets,"$4,788,826",-,-,"$4,788,826",100%
181,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
182,Gladiator 20th Anniversary,"$4,779,952",-,-,"$4,779,952",100%
183,Intruder,"$4,751,103",-,-,"$4,751,103",100%
184,Granny Nanny,"$4,653,726",$432,<0.1%,"$4,653,294",100%
185,100% Wolf,"$4,598,831","$512,805",11.2%,"$4,086,026",88.8%
186,Military Wives,"$4,548,387",-,-,"$4,548,387",100%
187,Jawaani Jaaneman,"$4,495,290",-,-,"$4,495,290",100%
188,Not Quite Dead Yet,"$4,405,016",-,-,"$4,405,016",100%
189,Bhoot: Part One - The Haunted Ship,"$4,377,328",-,-,"$4,377,328",100%
190,The Golden Holiday,"$4,356,489",-,-,"$4,356,489",100%
191,Mr. Zoo: The Missing VIP,"$4,354,691",-,-,"$4,354,691",100%
192,The Wretched,"$4,344,913","$1,814,193",41.8%,"$2,530,720",58.2%
193,Delete History,"$4,330,672",-,-,"$4,330,672",100%
194,No Escape,"$4,249,678","$167,962",4%,"$4,081,716",96%
195,Dragon Rider,"$4,242,335",-,-,"$4,242,335",100%
196,Rams,"$4,180,931",-,-,"$4,180,931",100%
197,Thappad,"$4,112,382",-,-,"$4,112,382",100%
198,"Yes, I Do","$4,100,000",-,-,"$4,100,000",100%
199,Infidel,"$4,051,990","$4,051,990",100%,-,-
200,Fatale,"$4,011,203","$4,011,203",100%,-,-
201,Asphalt Burning,"$3,989,896",-,-,"$3,989,896",100%
202,Bye Bye Morons,"$3,945,464",-,-,"$3,945,464",100%
203,Grand Blue,"$3,930,159",-,-,"$3,930,159",100%
204,25 lat niewinnosci. Sprawa Tomka Komendy,"$3,929,484",-,-,"$3,929,484",100%
205,Superintelligence,"$3,900,000",-,-,"$3,900,000",100%
206,Cats & Dogs 3: Paws Unite,"$3,855,146",-,-,"$3,855,146",100%
207,The Empty Man,"$3,854,247","$2,992,948",77.7%,"$861,299",22.3%
208,"Yakari, a Spectacular Journey","$3,781,189",-,-,"$3,781,189",100%
209,André Rieu - 70 Years Young,"$3,714,938",-,-,"$3,714,938",100%
210,Figli,"$3,691,574",-,-,"$3,691,574",100%
211,Marafon zhelaniy,"$3,688,995",-,-,"$3,688,995",100%
212,Find Your Voice,"$3,634,579",-,-,"$3,634,579",100%
213,Fate/Grand Order the Sacred Round Table Realm: Camelot,"$3,562,221",-,-,"$3,562,221",100%
214,Lassie Come Home,"$3,554,571",-,-,"$3,554,571",100%
215,Another Round,"$3,513,317",-,-,"$3,513,317",100%
216,Le lion,"$3,507,711",-,-,"$3,507,711",100%
217,18 Presents,"$3,486,375",-,-,"$3,486,375",100%
218,The Elfkins,"$3,481,171",-,-,"$3,481,171",100%
219,Radioactive,"$3,479,814",-,-,"$3,479,814",100%
220,Pretty Cure Miracle Leap the Movie,"$3,474,150",-,-,"$3,474,150",100%
221,Run,"$3,473,328",-,-,"$3,473,328",100%
222,Silver Skates,"$3,444,818",-,-,"$3,444,818",100%
223,Summer of 85,"$3,434,245",-,-,"$3,434,245",100%
224,I Wish Someone Were Waiting for Me Somewhere,"$3,403,477",-,-,"$3,403,477",100%
225,Two by Two: Overboard!,"$3,400,671",-,-,"$3,400,671",100%
226,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
227,The Rental,"$3,339,503","$1,637,548",49%,"$1,701,955",51%
228,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
229,Far Too Personal,"$3,272,428",-,-,"$3,272,428",100%
230,Voice of Silence,"$3,271,053",-,-,"$3,271,053",100%
231,Ava,"$3,260,865","$497,747",15.3%,"$2,763,118",84.7%
232,Arab Blues,"$3,203,320",-,-,"$3,203,320",100%
233,The Secret: Dare to Dream,"$3,184,114",-,-,"$3,184,114",100%
234,Samsam,"$3,180,721","$53,273",1.7%,"$3,127,448",98.3%
235,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
236,Petla,"$3,144,572",-,-,"$3,144,572",100%
237,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,117,130","$2,482,000",79.6%,"$635,130",20.4%
238,Words on Bathroom Walls,"$3,066,242","$2,542,518",82.9%,"$523,724",17.1%
239,The Wedding Unplanner,"$3,049,420",-,-,"$3,049,420",100%
240,Oversize Love,"$3,013,782",-,-,"$3,013,782",100%
241,The Enigma of Arrival,"$3,002,045",-,-,"$3,002,045",100%
242,Appearances,"$2,991,236",-,-,"$2,991,236",100%
243,Les traducteurs,"$2,986,212",-,-,"$2,986,212",100%
244,My Cousin,"$2,974,059",-,-,"$2,974,059",100%
245,Men at Work: Miami,"$2,906,158",-,-,"$2,906,158",100%
246,It's for Your Own Good,"$2,902,292",$256,<0.1%,"$2,902,036",100%
247,Caught in the Net,"$2,894,447",-,-,"$2,894,447",100%
248,Scumbag,"$2,876,675",-,-,"$2,876,675",100%
249,Life as It Should Be,"$2,870,736",-,-,"$2,870,736",100%
250,Zenek,"$2,832,175",-,-,"$2,832,175",100%
251,Poly,"$2,777,184",-,-,"$2,777,184",100%
252,Das geheime Leben der Bäume,"$2,737,511",-,-,"$2,737,511",100%
253,Silent Tokyo,"$2,730,104",-,-,"$2,730,104",100%
254,13rd Sister: Three Deadly Days,"$2,715,188",-,-,"$2,715,188",100%
255,Promising Young Woman,"$2,707,180","$2,707,180",100%,-,-
256,Made in Italy,"$2,695,212","$101,339",3.8%,"$2,593,873",96.2%
257,Miami Bici,"$2,663,916",-,-,"$2,663,916",100%
258,The Memory Eraser,"$2,662,177",-,-,"$2,662,177",100%
259,Doi Mat Am Duong,"$2,642,944",-,-,"$2,642,944",100%
260,Kamen Rider Zero-One: Real×Time,"$2,611,150",-,-,"$2,611,150",100%
261,How to Make Out,"$2,607,444",-,-,"$2,607,444",100%
262,Small Country: An African Childhood,"$2,590,629",-,-,"$2,590,629",100%
263,Gekijôban Shirobako,"$2,588,312",-,-,"$2,588,312",100%
264,How to Train Your Dragon: The Hidden World 2020 Re-release,"$2,583,644",-,-,"$2,583,644",100%
265,Knutsen & Ludvigsen 2 - Det Store Dyret,"$2,561,134",-,-,"$2,561,134",100%
266,Bayi Toplantisi,"$2,560,632",-,-,"$2,560,632",100%
267,OH! My Gran,"$2,541,300",-,-,"$2,541,300",100%
268,Sifir Bir,"$2,536,753",-,-,"$2,536,753",100%
269,The Girl with a Bracelet,"$2,535,002",-,-,"$2,535,002",100%
270,Dreambuilders,"$2,521,864",-,-,"$2,521,864",100%
271,Belle fille,"$2,513,010",-,-,"$2,513,010",100%
272,Ròm,"$2,509,318",-,-,"$2,509,318",100%
273,A Friendly Tale,"$2,498,066",-,-,"$2,498,066",100%
274,Queens of the Field,"$2,476,539",-,-,"$2,476,539",100%
275,Escape from Pretoria,"$2,430,191",-,-,"$2,430,191",100%
276,The Nightmare Before Christmas 2020 Re-release,"$2,351,189","$2,286,000",97.2%,"$65,189",2.8%
277,"The Things We Say, the Things We Do","$2,335,674",-,-,"$2,335,674",100%
278,"Blue, Painful and Brittle","$2,305,766",-,-,"$2,305,766",100%
279,Coma,"$2,264,162",-,-,"$2,264,162",100%
280,Kishiryu Sentai Ryusoulger vs. Lupinranger vs. Patranger,"$2,242,513",-,-,"$2,242,513",100%
281,Relic,"$2,241,793","$1,047,083",46.7%,"$1,194,710",53.3%
282,The King of Staten Island,"$2,239,757",-,-,"$2,239,757",100%
283,Bad Boy,"$2,237,552",-,-,"$2,237,552",100%
284,The High Note,"$2,213,769",-,-,"$2,213,769",100%
285,Elf 2020 Re-release,"$2,181,963","$2,003,568",91.8%,"$178,395",8.2%
286,Half Brothers,"$2,128,085","$2,128,085",100%,-,-
287,The Outpost,"$2,092,523",-,-,"$2,092,523",100%
288,Happiest Season,"$2,078,099",-,-,"$2,078,099",100%
289,Perfumes,"$2,058,848",-,-,"$2,058,848",100%
290,Looking for Magical DoReMi,"$2,044,264",-,-,"$2,044,264",100%
291,Parents d'élèves,"$2,033,629",-,-,"$2,033,629",100%
292,Chlap na strídacku,"$2,032,855",-,-,"$2,032,855",100%
293,The Magic Kids: Three Unlikely Heroes,"$2,024,360",-,-,"$2,024,360",100%
294,"God, You're Such a Prick","$2,020,646",-,-,"$2,020,646",100%
295,De Grote Slijmfilm,"$2,008,512",-,-,"$2,008,512",100%
296,Jurassic World: Fallen Kingdom 2020 Re-release,"$1,996,736",-,-,"$1,996,736",100%
297,Charlatan,"$1,994,772",-,-,"$1,994,772",100%
298,Papi Sitter,"$1,975,973",-,-,"$1,975,973",100%
299,30 Chua Phai Tet,"$1,957,005",-,-,"$1,957,005",100%
300,The Day I Died: Unclosed Case,"$1,949,722",-,-,"$1,949,722",100%
301,All My Life,"$1,949,121","$913,318",46.9%,"$1,035,803",53.1%
302,Hayaller Ülkesi: Gamonya,"$1,943,338",-,-,"$1,943,338",100%
303,The Craft: Legacy,"$1,918,816",-,-,"$1,918,816",100%
304,Jurassic Park 2020 Re-release,"$1,906,501","$1,386,600",72.7%,"$519,901",27.3%
305,Pirates Down the Street,"$1,900,325",-,-,"$1,900,325",100%
306,Play,"$1,899,658",-,-,"$1,899,658",100%
307,Great Performances at the Met: The Gershwins' Porgy and Bess,"$1,887,761",-,-,"$1,887,761",100%
308,Beyond the Dream,"$1,869,039",-,-,"$1,869,039",100%
309,Swingersi,"$1,827,589",-,-,"$1,827,589",100%
310,The Fantastic Journey of Margot & Marguerite,"$1,822,472",-,-,"$1,822,472",100%
311,Misbehaviour,"$1,805,371",-,-,"$1,805,371",100%
312,"I Have Loved you for 30 Years, Yayoi","$1,783,960",-,-,"$1,783,960",100%
313,Obratnaya svyaz,"$1,774,000",-,-,"$1,774,000",100%
314,3Grapes,"$1,750,746",-,-,"$1,750,746",100%
315,Wife of a Spy,"$1,745,270",-,-,"$1,745,270",100%
316,Darbar,"$1,738,535",-,-,"$1,738,535",100%
317,The Comeback Trail,"$1,713,871",-,-,"$1,713,871",100%
318,Paw Patrol: Jet to the Rescue,"$1,695,576",-,-,"$1,695,576",100%
319,Night Shift,"$1,695,019",$534,<0.1%,"$1,694,485",100%
320,"Kiss Him, Not Me","$1,669,719",-,-,"$1,669,719",100%
321,How I Became Russian,"$1,668,824",-,-,"$1,668,824",100%
322,Casanova's,"$1,616,489",-,-,"$1,616,489",100%
323,Josée,"$1,603,989",-,-,"$1,603,989",100%
324,L'esprit de famille,"$1,602,914",-,-,"$1,602,914",100%
325,Kalashnikov,"$1,593,464",-,-,"$1,593,464",100%
326,Little Vampire,"$1,567,970",-,-,"$1,567,970",100%
327,Wasp Network,"$1,566,104",-,-,"$1,566,104",100%
328,Terrible Jungle,"$1,560,874",-,-,"$1,560,874",100%
329,The Crossing,"$1,540,601",-,-,"$1,540,601",100%
330,Knerten og sjøormen,"$1,496,735",-,-,"$1,496,735",100%
331,The Swordsman,"$1,495,125",-,-,"$1,495,125",100%
332,Veinteañera: Divorciada y Fantástica,"$1,486,553",-,-,"$1,486,553",100%
333,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
334,Extinction,"$1,451,864",-,-,"$1,451,864",100%
335,#Iamhere,"$1,446,784",-,-,"$1,446,784",100%
336,The Cornered Mouse Dreams of Cheese,"$1,441,478",-,-,"$1,441,478",100%
337,Türkler Geliyor: Adaletin Kilici,"$1,412,062",-,-,"$1,412,062",100%
338,Cosmoball,"$1,407,486",-,-,"$1,407,486",100%
339,New Order,"$1,406,926",-,-,"$1,406,926",100%
340,Nang 3: Loi Hua Cua Cha,"$1,398,976",-,-,"$1,398,976",100%
341,Superagente Makey,"$1,395,217",-,-,"$1,395,217",100%
342,Wednesday Disappears,"$1,390,871",-,-,"$1,390,871",100%
343,Saint Maud,"$1,383,868",-,-,"$1,383,868",100%
344,Josep,"$1,373,465",-,-,"$1,373,465",100%
345,Max und die wilde 7,"$1,369,679",-,-,"$1,369,679",100%
346,Mutiny of the Worker Bees,"$1,368,432",-,-,"$1,368,432",100%
347,The Goonies 2020 Re-release,"$1,365,472","$825,000",60.4%,"$540,472",39.6%
348,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
349,Karakomik Filmler: Emanet,"$1,360,837",-,-,"$1,360,837",100%
350,"Turu, the Wacky Hen","$1,360,825",-,-,"$1,360,825",100%
351,Come Away,"$1,350,082","$184,477",13.7%,"$1,165,605",86.3%
352,2 Hearts,"$1,349,286","$1,349,286",100%,-,-
353,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
354,The Dark Knight 2020 Re-release,"$1,330,612",-,-,"$1,330,612",100%
355,The Tax Collector,"$1,325,781","$1,044,212",78.8%,"$281,569",21.2%
356,The Hater,"$1,325,591",-,-,"$1,325,591",100%
357,Temporary Difficulties,"$1,312,189",-,-,"$1,312,189",100%
358,Pee Nak 2,"$1,302,777",-,-,"$1,302,777",100%
359,Angrezi Medium,"$1,301,330",-,-,"$1,301,330",100%
360,Fatman,"$1,297,315","$278,378",21.5%,"$1,018,937",78.5%
361,Savage,"$1,289,813",-,-,"$1,289,813",100%
362,The Perfect Candidate,"$1,270,023",-,-,"$1,270,023",100%
363,Kajillionaire,"$1,269,422","$531,430",41.9%,"$737,992",58.1%
364,Beauty Water,"$1,261,400",-,-,"$1,261,400",100%
365,Baba Yaga: Terror of the Dark Forest,"$1,230,184",-,-,"$1,230,184",100%
366,Mishima: The Last Debate,"$1,229,264",-,-,"$1,229,264",100%
367,Boutchou,"$1,227,428",-,-,"$1,227,428",100%
368,Jaanu,"$1,221,813",-,-,"$1,221,813",100%
369,Golkeri,"$1,219,801",-,-,"$1,219,801",100%
370,Marche avec les loups,"$1,219,228",-,-,"$1,219,228",100%
371,Fabrizio De Andrè & PFM - Il concerto ritrovato,"$1,216,390",-,-,"$1,216,390",100%
372,The Last Frontier,"$1,216,018",-,-,"$1,216,018",100%
373,Alla Pugachyova. Tot Samyi Kontsert,"$1,213,396",-,-,"$1,213,396",100%
374,True to the Game 2,"$1,181,823","$1,181,823",100%,-,-
375,The Way We Are,"$1,166,324",-,-,"$1,166,324",100%
