Rank,Release Group,Worldwide,Domestic,%,Foreign,%
204,What's Cooking?,"$1,649,655","$1,045,899",63.4%,"$603,756",36.6%
205,Come Sweet Death,"$1,626,336",-,-,"$1,626,336",100%
206,Timecode,"$1,431,406","$1,057,750",73.9%,"$373,656",26.1%
207,Catfish in Black Bean Sauce,"$1,319,592","$1,319,592",100%,-,-
208,Jesus' Son,"$1,302,067","$1,302,067",100%,-,-
209,Under Suspicion,"$1,291,020","$260,562",20.2%,"$1,030,458",79.8%
210,MVP: Most Valuable Primate,"$1,248,746","$1,248,746",100%,-,-
211,Turn It Up,"$1,247,949","$1,247,949",100%,-,-
212,Margaret Cho: I'm the One That I Want,"$1,210,967","$1,210,967",100%,-,-
213,Backstage,"$1,191,835","$1,191,835",100%,-,-
214,The Bench,"$1,190,251",-,-,"$1,190,251",100%
215,Chuck & Buck,"$1,182,065","$1,055,671",89.3%,"$126,394",10.7%
216,Groove,"$1,162,001","$1,115,313",96%,"$46,688",4%
217,Trois,"$1,161,843","$1,161,843",100%,-,-
218,Yi Yi,"$1,136,776","$1,136,776",100%,-,-
219,The Cup,"$1,079,108","$1,079,108",100%,-,-
220,Tutto l'amore che c'è,"$1,059,622",-,-,"$1,059,622",100%
221,Urbania,"$1,032,075","$1,032,075",100%,-,-
222,The Eyes of Tammy Faye,"$1,029,591","$1,029,591",100%,-,-
223,The Taste of Others,"$1,021,938","$891,369",87.2%,"$130,569",12.8%
224,Two Family House,"$1,015,122","$1,015,122",100%,-,-
225,Simpatico,"$929,606","$929,606",100%,-,-
226,Aimee & Jaguar,"$927,107","$927,107",100%,-,-
227,The Yards,"$924,036","$889,352",96.2%,"$34,684",3.8%
228,Place Vendôme,"$895,788","$895,788",100%,-,-
229,La otra conquista,"$886,410","$886,410",100%,-,-
230,The Claim,"$885,836","$669,258",75.6%,"$216,578",24.4%
231,Flashback,"$874,592",-,-,"$874,592",100%
232,Himalaya,"$857,100","$132,007",15.4%,"$725,093",84.6%
233,Chunhyang,"$798,977","$798,977",100%,-,-
234,Panic,"$779,137","$779,137",100%,-,-
235,New Waterford Girl,"$774,469","$774,469",100%,-,-
236,The Girl Next Door,"$771,792","$771,792",100%,-,-
237,Passion of Mind,"$769,272","$769,272",100%,-,-
238,Wild Flowers,"$751,009",-,-,"$751,009",100%
239,Kadosh,"$736,812","$736,812",100%,-,-
240,Loners,"$696,747",-,-,"$696,747",100%
241,Seven Days to Live,"$676,805",-,-,"$676,805",100%
242,Dekalog,"$655,720","$655,720",100%,-,-
243,Pixie Panic,"$652,675",-,-,"$652,675",100%
244,Goya in Bordeaux,"$635,361","$635,361",100%,-,-
245,Better Than Sex,"$620,388","$19,521",3.1%,"$600,867",96.9%
246,The Filth and the Fury,"$612,192","$612,192",100%,-,-
247,Fiza,"$596,591","$596,591",100%,-,-
248,Not One Less,"$592,586","$592,586",100%,-,-
249,Refugee,"$590,000","$590,000",100%,-,-
250,Phir Bhi Dil Hai Hindustani,"$588,606","$588,606",100%,-,-
251,A Time for Drunken Horses,"$587,654","$587,654",100%,-,-
252,The Opportunists,"$584,054","$584,054",100%,-,-
253,Alaska: Spirit of the Wild,"$553,541",-,-,"$553,541",100%
254,Love & Sex,"$543,896","$543,896",100%,-,-
255,Mifune,"$512,434","$512,434",100%,-,-
256,Divided We Fall,"$502,123",-,-,"$502,123",100%
257,Alice and Martin,"$500,896","$500,896",100%,-,-
258,The Five Senses,"$497,091","$497,091",100%,-,-
259,The Last September,"$478,053","$478,053",100%,-,-
260,Joe Gould's Secret,"$468,684","$468,684",100%,-,-
261,Venus Beauty,"$465,080","$465,080",100%,-,-
262,Rififi 2000 Re-release,"$463,593","$460,226",99.3%,"$3,367",0.7%
263,Baise-moi,"$444,243","$420,224",94.6%,"$24,019",5.4%
264,Josh,"$426,318","$426,318",100%,-,-
265,8 ½ Women,"$424,123","$424,123",100%,-,-
266,Wonderland,"$414,254","$414,254",100%,-,-
267,Every Heart That Loves,"$406,235","$406,235",100%,-,-
268,Out of the City,"$402,582",-,-,"$402,582",100%
269,Raju Chacha,"$402,226","$194,698",48.4%,"$207,528",51.6%
270,Gang Land,"$402,000","$402,000",100%,-,-
271,An Affair of Love,"$401,299","$359,050",89.5%,"$42,249",10.5%
272,Hamara Dil Aapke Paas Hai,"$392,076","$392,076",100%,-,-
273,Bittersweet Motel,"$391,653","$391,653",100%,-,-
274,Into the Arms of Strangers,"$382,807","$382,807",100%,-,-
275,Hochelaga,"$376,714","$376,714",100%,-,-
276,The Nightmare Before Christmas 2000 Re-release,"$376,586","$376,586",100%,-,-
277,Me Myself I,"$369,975","$369,975",100%,-,-
278,Your Magical Spell Worked,"$365,318","$365,318",100%,-,-
279,Alien Adventure 2000 Re-release,"$338,414",-,-,"$338,414",100%
280,Ran 2000 Re-release,"$337,587","$337,587",100%,-,-
281,Rush Hour 2000 Re-release,"$334,200",-,-,"$334,200",100%
282,Dark Days,"$333,843","$309,648",92.8%,"$24,195",7.2%
283,Winter Sleepers,"$323,041","$323,041",100%,-,-
284,The Magic Pudding,"$315,957",-,-,"$315,957",100%
285,Call,"$314,701","$314,701",100%,-,-
286,Grass,"$313,039","$313,039",100%,-,-
287,Sunshine 2000 Re-release,"$310,175",-,-,"$310,175",100%
288,The Icelandic Dream,"$308,626",-,-,"$308,626",100%
289,Love's Labour's Lost,"$299,792","$299,792",100%,-,-
290,Cotton Mary,"$299,432","$299,432",100%,-,-
291,Trixie,"$295,683","$295,683",100%,-,-
292,Luminarias,"$292,309","$292,309",100%,-,-
293,American Pimp,"$287,724","$287,724",100%,-,-
294,George Washington,"$283,846","$247,406",87.2%,"$36,440",12.8%
295,Smiling Fish & Goat on Fire,"$278,492","$278,492",100%,-,-
296,Solas,"$277,596","$277,596",100%,-,-
297,Hey Ram,"$274,675","$274,675",100%,-,-
298,Deep in the Woods,"$270,890","$56,119",20.7%,"$214,771",79.3%
299,Waking the Dead,"$270,745","$270,745",100%,-,-
300,Psycho Beach Party,"$268,117","$268,117",100%,-,-
301,Beautiful People,"$264,292","$264,292",100%,-,-
302,The Wind Will Carry Us,"$259,510","$259,510",100%,-,-
303,Maelstrom,"$254,380","$254,380",100%,-,-
304,Marcel Proust's Time Regained,"$247,728","$247,728",100%,-,-
305,101 Reykjavík,"$244,577",-,-,"$244,577",100%
306,This Is Spinal Tap 2000 Re-release,"$244,557","$244,557",100%,-,-
307,Santitos,"$243,000","$243,000",100%,-,-
308,La bûche,"$238,754","$238,754",100%,-,-
309,The Ballad of Ramblin' Jack,"$225,682","$225,682",100%,-,-
310,Mela,"$220,524","$220,524",100%,-,-
311,Ratcatcher,"$217,244","$217,244",100%,-,-
312,Boys Life 3,"$208,538","$208,538",100%,-,-
313,The Tic Code,"$205,003","$205,003",100%,-,-
314,Bulandi,"$203,548","$203,548",100%,-,-
315,Kikujiro,"$200,920","$200,920",100%,-,-
316,Come on My Brother,"$199,227","$199,227",100%,-,-
317,Calle 54,"$187,308","$187,308",100%,-,-
318,The Big Tease,"$187,152","$187,152",100%,-,-
319,Vatel,"$184,301","$51,080",27.7%,"$133,221",72.3%
320,Cleopatra's Second Husband,"$175,058","$175,058",100%,-,-
321,American Women,"$174,011","$164,927",94.8%,"$9,084",5.2%
322,Mercy Streets,"$173,599","$173,599",100%,-,-
323,Uninvited Guest,"$170,832","$170,832",100%,-,-
324,Knockout,"$169,503","$169,503",100%,-,-
325,Grizzly Falls,"$168,874","$168,874",100%,-,-
326,Solomon & Gaenor,"$165,485","$165,485",100%,-,-
327,One Day in September,"$156,818","$156,818",100%,-,-
328,The Terrorist,"$153,629","$153,629",100%,-,-
329,Eyes Wide Shut 20th Anniversary,"$151,476",-,-,"$151,476",100%
330,Deterrence,"$145,071","$145,071",100%,-,-
331,X,"$143,355","$143,355",100%,-,-
332,Tigerland,"$139,692","$139,692",100%,-,-
333,Running Free,"$117,608","$117,608",100%,-,-
334,Spring Forward,"$117,471","$117,471",100%,-,-
335,Sound and Fury,"$114,882","$114,882",100%,-,-
336,Taboo,"$114,425","$114,425",100%,-,-
337,Kippur,"$114,283","$114,283",100%,-,-
338,Once in a Lifetime,"$108,557",-,-,"$108,557",100%
339,The Million Dollar Hotel,"$105,983","$59,989",56.6%,"$45,994",43.4%
340,Human Traffic,"$104,257","$104,257",100%,-,-
341,Khauff,"$100,975","$100,975",100%,-,-
342,Paragraph 175,"$96,630","$96,630",100%,-,-
343,Asterix and Obelix vs. Caesar 2000 Re-release,"$91,306",-,-,"$91,306",100%
344,To Fall in Love,"$87,000","$87,000",100%,-,-
345,Live Nude Girls Unite!,"$84,706","$84,706",100%,-,-
346,Better Living Through Circuitry,"$82,378","$82,378",100%,-,-
347,The Big Blue 2000 Director's Cut,"$80,882","$80,882",100%,-,-
348,Blue Moon,"$76,544","$76,544",100%,-,-
349,Steal This Movie,"$76,424","$76,424",100%,-,-
350,Hum To Mohabbat Karega,"$75,446","$75,446",100%,-,-
351,Restaurant,"$75,232","$75,232",100%,-,-
352,An Everlasting Piece,"$75,228","$75,228",100%,-,-
353,Set Me Free,"$74,052","$74,052",100%,-,-
354,Loving Jezebel,"$72,190","$72,190",100%,-,-
355,Boricua's Bond,"$71,046","$71,046",100%,-,-
356,Peppermint Candy,"$69,590",-,-,"$69,590",100%
357,Live Virgin,"$66,497",-,-,"$66,497",100%
358,Titanic Town,"$65,793","$65,793",100%,-,-
359,Mad About Mambo,"$65,283","$65,283",100%,-,-
360,All About Eve 2000 Re-release,"$63,463","$63,463",100%,-,-
361,Judy Berlin,"$61,236","$61,236",100%,-,-
362,Once in the Life,"$54,780","$54,780",100%,-,-
363,Orphans,"$54,754","$54,754",100%,-,-
364,Jungle,"$54,125","$54,125",100%,-,-
365,Long Night's Journey Into Day,"$50,715","$50,715",100%,-,-
366,The Fantasticks,"$49,666","$49,666",100%,-,-
367,Waydowntown,"$48,333","$48,333",100%,-,-
368,Dhadkan,"$45,380","$45,380",100%,-,-
369,Karobaar: The Business of Love,"$45,200","$45,200",100%,-,-
370,Such a Long Journey,"$44,364","$44,364",100%,-,-
371,Animal Factory,"$43,805","$43,805",100%,-,-
372,Hadh Kar Di Aapne,"$42,914","$42,914",100%,-,-
373,Shikari,"$40,712","$40,712",100%,-,-
374,Committed,"$40,361","$40,361",100%,-,-
375,Shadow Hours,"$38,181","$38,181",100%,-,-
376,Benjamin Smoke,"$37,111","$37,111",100%,-,-
377,Kurukshetra,"$36,890","$36,890",100%,-,-
378,The Barber of Siberia 2000 Re-release,"$34,218",-,-,"$34,218",100%
379,Boesman and Lena,"$32,625","$32,625",100%,-,-
380,The Weekend,"$32,050","$32,050",100%,-,-
381,Bootmen,"$31,288","$31,288",100%,-,-
382,The Boondock Saints,"$30,471","$30,471",100%,-,-
383,The Times of Harvey Milk,"$30,187","$13,801",45.7%,"$16,386",54.3%
384,Praise,"$29,874","$29,874",100%,-,-
385,Sinbad: Beyond the Veil of Mists,"$29,245","$29,245",100%,-,-
