Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Mission: Impossible II,"$546,388,108","$215,409,889",39.4%,"$330,978,219",60.6%
2,Gladiator,"$460,583,960","$187,705,427",40.8%,"$272,878,533",59.2%
3,Cast Away,"$429,632,142","$233,632,142",54.4%,"$196,000,000",45.6%
4,What Women Want,"$374,111,707","$182,811,707",48.9%,"$191,300,000",51.1%
5,Dinosaur,"$349,822,765","$137,748,063",39.4%,"$212,074,702",60.6%
6,How the Grinch Stole Christmas,"$345,141,403","$260,044,825",75.3%,"$85,096,578",24.7%
7,Meet the Parents,"$330,444,045","$166,244,045",50.3%,"$164,200,000",49.7%
8,The Perfect Storm,"$328,718,434","$182,618,434",55.6%,"$146,100,000",44.4%
9,X-Men,"$296,339,528","$157,299,718",53.1%,"$139,039,810",46.9%
10,What Lies Beneath,"$291,420,351","$155,464,351",53.3%,"$135,956,000",46.7%
11,Scary Movie,"$278,019,771","$157,019,771",56.5%,"$121,000,000",43.5%
12,Charlie's Angels,"$264,105,545","$125,305,545",47.4%,"$138,800,000",52.6%
13,Erin Brockovich,"$256,271,286","$125,595,205",49%,"$130,676,081",51%
14,Unbreakable,"$248,118,121","$95,011,339",38.3%,"$153,106,782",61.7%
15,Gone in 60 Seconds,"$237,202,299","$101,648,571",42.9%,"$135,553,728",57.1%
16,Chicken Run,"$224,834,564","$106,834,564",47.5%,"$118,000,000",52.5%
17,Vertical Limit,"$215,663,859","$69,243,859",32.1%,"$146,420,000",67.9%
18,The Patriot,"$215,294,342","$113,330,342",52.6%,"$101,964,000",47.4%
19,"Crouching Tiger, Hidden Dragon","$213,525,736","$128,078,872",60%,"$85,446,864",40%
20,Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%
21,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%
22,Hollow Man,"$190,213,455","$73,209,340",38.5%,"$117,004,115",61.5%
23,102 Dalmatians,"$183,611,771","$66,957,026",36.5%,"$116,654,745",63.5%
24,Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%
25,The Emperor's New Groove,"$169,327,687","$89,302,687",52.7%,"$80,025,000",47.3%
26,Nutty Professor II: The Klumps,"$166,339,890","$123,309,890",74.1%,"$43,030,000",25.9%
27,Scream 3,"$161,834,276","$89,143,175",55.1%,"$72,691,101",44.9%
28,Chocolat,"$152,699,946","$71,509,363",46.8%,"$81,190,583",53.2%
29,"Me, Myself & Irene","$149,270,999","$90,570,999",60.7%,"$58,700,000",39.3%
30,The Beach,"$144,056,873","$39,785,027",27.6%,"$104,271,846",72.4%
31,Remember the Titans,"$136,706,683","$115,654,751",84.6%,"$21,051,932",15.4%
32,Pokémon the Movie 2000,"$133,949,270","$43,758,684",32.7%,"$90,190,586",67.3%
33,Space Cowboys,"$128,884,132","$90,464,773",70.2%,"$38,419,359",29.8%
34,U-571,"$127,666,415","$77,122,415",60.4%,"$50,544,000",39.6%
35,The Family Man,"$124,745,083","$75,793,305",60.8%,"$48,951,778",39.2%
36,Road Trip,"$119,754,278","$68,540,777",57.2%,"$51,213,501",42.8%
37,Coyote Ugly,"$113,916,474","$60,786,269",53.4%,"$53,130,205",46.6%
38,Final Destination,"$112,880,294","$53,331,147",47.2%,"$59,549,147",52.8%
39,The Exorcist 2000 Director's Cut,"$112,053,066","$39,671,011",35.4%,"$72,382,055",64.6%
40,Mission to Mars,"$110,983,407","$60,883,407",54.9%,"$50,100,000",45.1%
41,The Kid,"$110,317,580","$69,691,949",63.2%,"$40,625,631",36.8%
42,Billy Elliot,"$109,280,263","$21,995,263",20.1%,"$87,285,000",79.9%
43,Shaft,"$107,196,498","$70,334,258",65.6%,"$36,862,240",34.4%
44,The Whole Nine Yards,"$106,371,651","$57,262,492",53.8%,"$49,109,159",46.2%
45,The Cell,"$104,155,843","$61,334,059",58.9%,"$42,821,784",41.1%
46,Rugrats in Paris,"$103,291,131","$76,507,756",74.1%,"$26,783,375",25.9%
47,Shanghai Noon,"$99,274,467","$56,937,502",57.4%,"$42,336,965",42.6%
48,The Tigger Movie,"$96,159,800","$45,554,533",47.4%,"$50,605,267",52.6%
49,The 6th Day,"$96,085,477","$34,604,280",36%,"$61,481,197",64%
50,Romeo Must Die,"$91,036,760","$55,973,336",61.5%,"$35,063,424",38.5%
51,Fantasia 2000,"$90,874,570","$60,655,420",66.7%,"$30,219,150",33.3%
52,Autumn in New York,"$90,726,668","$37,761,915",41.6%,"$52,964,753",58.4%
53,Bring It On,"$90,449,929","$68,379,000",75.6%,"$22,070,929",24.4%
54,Bedazzled,"$90,383,208","$37,886,980",41.9%,"$52,496,228",58.1%
55,Snatch,"$83,557,872","$30,328,156",36.3%,"$53,229,716",63.7%
56,Men of Honor,"$82,343,495","$48,818,921",59.3%,"$33,524,574",40.7%
57,Finding Forrester,"$80,049,764","$51,804,714",64.7%,"$28,245,050",35.3%
58,The Road to El Dorado,"$76,432,727","$50,863,742",66.5%,"$25,568,985",33.5%
59,"Dude, Where's My Car?","$73,180,723","$46,729,800",63.9%,"$26,450,923",36.1%
60,"O Brother, Where Art Thou?","$71,868,327","$45,512,588",63.3%,"$26,355,739",36.7%
61,Rules of Engagement,"$71,732,303","$61,335,230",85.5%,"$10,397,073",14.5%
62,Frequency,"$68,106,245","$45,010,278",66.1%,"$23,095,967",33.9%
63,Thirteen Days,"$66,579,890","$34,592,089",52%,"$31,987,801",48%
64,Proof of Life,"$62,761,005","$32,598,931",51.9%,"$30,162,074",48.1%
65,Snow Day,"$62,464,731","$60,020,107",96.1%,"$2,444,624",3.9%
66,28 Days,"$62,198,945","$37,170,488",59.8%,"$25,028,457",40.2%
67,Taxi 2,"$60,726,164","$626,164",1%,"$60,100,000",99%
68,Keeping the Faith,"$59,945,183","$37,047,880",61.8%,"$22,897,303",38.2%
69,Next Friday,"$59,827,328","$57,328,603",95.8%,"$2,498,725",4.2%
70,The Flintstones in Viva Rock Vegas,"$59,468,275","$35,268,275",59.3%,"$24,200,000",40.7%
71,Little Nicky,"$58,292,295","$39,464,775",67.7%,"$18,827,520",32.3%
72,Pay It Forward,"$55,707,411","$33,519,628",60.2%,"$22,187,783",39.8%
73,Bounce,"$53,425,292","$36,805,288",68.9%,"$16,620,004",31.1%
74,Pitch Black,"$53,187,659","$39,240,659",73.8%,"$13,947,000",26.2%
75,Hanging Up,"$51,880,044","$36,050,230",69.5%,"$15,829,814",30.5%
76,The Skulls,"$50,802,120","$35,046,120",69%,"$15,756,000",31%
77,The Replacements,"$50,054,511","$44,737,059",89.4%,"$5,317,452",10.6%
78,Book of Shadows: Blair Witch 2,"$47,737,094","$26,437,094",55.4%,"$21,300,000",44.6%
79,Almost Famous,"$47,383,689","$32,534,850",68.7%,"$14,848,839",31.3%
80,The Watcher,"$47,267,829","$28,946,615",61.2%,"$18,321,214",38.8%
81,High Fidelity,"$47,126,295","$27,287,137",57.9%,"$19,839,158",42.1%
82,Dracula 2000,"$47,053,625","$33,022,767",70.2%,"$14,030,858",29.8%
83,The Gift,"$44,567,606","$12,008,642",26.9%,"$32,558,964",73.1%
84,Where the Heart Is,"$40,863,718","$33,772,838",82.6%,"$7,090,880",17.4%
85,Bless the Child,"$40,443,010","$29,381,494",72.6%,"$11,061,516",27.4%
86,The Art of War,"$40,400,425","$30,208,599",74.8%,"$10,191,826",25.2%
87,Dancer in the Dark,"$40,031,879","$4,184,036",10.5%,"$35,847,843",89.5%
88,The Legend of Bagger Vance,"$39,459,427","$30,919,168",78.4%,"$8,540,259",21.6%
89,Urban Legends: Final Cut,"$38,574,362","$21,468,807",55.7%,"$17,105,555",44.3%
90,The Original Kings of Comedy,"$38,182,790","$38,182,790",100%,-,-
91,Titan A.E.,"$36,754,634","$22,753,426",61.9%,"$14,001,208",38.1%
92,Return to Me,"$36,609,995","$32,722,798",89.4%,"$3,887,197",10.6%
93,My Dog Skip,"$35,547,761","$34,134,641",96%,"$1,413,120",4%
94,The Adventures of Rocky & Bullwinkle,"$35,134,820","$26,005,820",74%,"$9,129,000",26%
95,American Psycho,"$34,266,564","$15,070,285",44%,"$19,196,279",56%
96,Dungeons & Dragons,"$33,978,694","$15,391,970",45.3%,"$18,586,724",54.7%
97,Red Planet,"$33,463,969","$17,480,890",52.2%,"$15,983,079",47.8%
98,Wonder Boys,"$33,426,588","$19,393,557",58%,"$14,033,031",42%
99,Reindeer Games,"$32,168,970","$23,368,995",72.6%,"$8,799,975",27.4%
100,Lost Souls,"$31,355,910","$16,815,253",53.6%,"$14,540,657",46.4%
101,Small Time Crooks,"$29,934,477","$17,266,359",57.7%,"$12,668,118",42.3%
102,Battlefield Earth,"$29,725,663","$21,471,685",72.2%,"$8,253,978",27.8%
103,Nurse Betty,"$29,360,400","$25,170,054",85.7%,"$4,190,346",14.3%
104,Boiler Room,"$28,780,255","$16,970,581",59%,"$11,809,674",41%
105,The Little Vampire,"$27,965,865","$13,572,400",48.5%,"$14,393,465",51.5%
106,Love & Basketball,"$27,728,118","$27,459,615",99%,"$268,503",1%
107,Cirque du Soleil: Journey of Man,"$27,538,359","$15,627,434",56.7%,"$11,910,925",43.3%
108,Center Stage,"$26,385,941","$17,200,925",65.2%,"$9,185,016",34.8%
109,Saving Grace,"$26,330,482","$12,178,602",46.3%,"$14,151,880",53.7%
110,Boys and Girls,"$25,850,615","$21,799,652",84.3%,"$4,050,963",15.7%
111,Down to You,"$24,419,914","$20,069,008",82.2%,"$4,350,906",17.8%
112,The Next Best Thing,"$24,362,772","$14,990,582",61.5%,"$9,372,190",38.5%
113,Dr. T & the Women,"$22,844,291","$13,113,041",57.4%,"$9,731,250",42.6%
114,The Contender,"$22,361,811","$17,872,723",79.9%,"$4,489,088",20.1%
115,Michael Jordan to the Max,"$21,268,532","$18,650,521",87.7%,"$2,618,011",12.3%
116,Best in Show,"$20,789,556","$18,715,392",90%,"$2,074,164",10%
117,Thomas and the Magic Railroad,"$19,748,009","$15,933,506",80.7%,"$3,814,503",19.3%
118,Get Carter,"$19,412,993","$14,967,182",77.1%,"$4,445,811",22.9%
119,The Ninth Gate,"$18,661,336","$18,661,336",100%,-,-
120,Loser,"$18,404,706","$15,618,626",84.9%,"$2,786,080",15.1%
121,All the Pretty Horses,"$18,133,495","$15,540,353",85.7%,"$2,593,142",14.3%
122,Quills,"$17,989,227","$7,065,332",39.3%,"$10,923,895",60.7%
123,CyberWorld,"$16,653,900","$11,253,900",67.6%,"$5,400,000",32.4%
124,Digimon: The Movie,"$16,643,191","$9,631,153",57.9%,"$7,012,038",42.1%
125,The Dish,"$16,575,074","$2,552,992",15.4%,"$14,022,082",84.6%
126,Italian for Beginners,"$16,349,568","$4,544,753",27.8%,"$11,804,815",72.2%
127,Drowning Mona,"$15,906,764","$15,506,764",97.5%,"$400,000",2.5%
128,Highlander: Endgame,"$15,843,608","$12,811,858",80.9%,"$3,031,750",19.1%
129,Bait,"$15,471,969","$15,325,127",99.1%,"$146,842",0.9%
130,Supernova,"$14,828,081","$14,230,455",96%,"$597,626",4%
131,Malena,"$14,493,284","$3,448,233",23.8%,"$11,045,051",76.2%
132,I Dreamed of Africa,"$14,400,327","$6,651,522",46.2%,"$7,748,805",53.8%
133,What Planet Are You From?,"$14,145,677","$6,291,602",44.5%,"$7,854,075",55.5%
134,The Ladies Man,"$13,743,212","$13,616,610",99.1%,"$126,602",0.9%
135,Solarmax,"$13,400,161","$13,400,161",100%,-,-
136,The Crew,"$13,105,853","$13,023,075",99.4%,"$82,778",0.6%
137,The Way of the Gun,"$13,069,740","$6,055,661",46.3%,"$7,014,079",53.7%
138,In the Mood for Love,"$12,854,953","$2,738,980",21.3%,"$10,115,973",78.7%
139,Gossip,"$12,591,270","$5,108,820",40.6%,"$7,482,450",59.4%
140,Ready to Rumble,"$12,452,362","$12,394,327",99.5%,"$58,035",0.5%
141,The Legend of Drunken Master,"$11,555,430","$11,555,430",100%,-,-
142,You Can Count on Me,"$11,242,521","$9,416,804",83.8%,"$1,825,717",16.2%
143,Shadow of the Vampire,"$11,155,214","$8,293,784",74.3%,"$2,861,430",25.7%
144,Lucky Numbers,"$10,890,222","$10,042,516",92.2%,"$847,706",7.8%
145,Here on Earth,"$10,873,148","$10,522,168",96.8%,"$350,980",3.2%
146,Pollock,"$10,558,970","$8,598,593",81.4%,"$1,960,377",18.6%
147,Anatomy,"$10,501,958","$9,660",<0.1%,"$10,492,298",99.9%
148,The Virgin Suicides,"$10,409,377","$4,906,229",47.1%,"$5,503,148",52.9%
149,Woman on Top,"$10,194,274","$5,020,111",49.2%,"$5,174,163",50.8%
150,Godzilla 2000,"$10,037,390","$10,037,390",100%,-,-
151,Whatever It Takes,"$9,902,115","$8,745,680",88.3%,"$1,156,435",11.7%
152,3 Strikes,"$9,832,166","$9,832,166",100%,-,-
153,Bread and Tulips,"$9,719,848","$5,318,679",54.7%,"$4,401,169",45.3%
154,Ghost Dog: The Way of the Samurai,"$9,380,473","$3,308,029",35.3%,"$6,072,444",64.7%
155,State and Main,"$9,206,279","$6,944,471",75.4%,"$2,261,808",24.6%
156,Before Night Falls,"$8,527,517","$4,242,892",49.8%,"$4,284,625",50.2%
157,Butterfly,"$7,733,894","$2,092,682",27.1%,"$5,641,212",72.9%
158,Ants in the Pants,"$7,625,967",-,-,"$7,625,967",100%
159,Requiem for a Dream,"$7,390,108","$3,635,482",49.2%,"$3,754,626",50.8%
160,Where the Money Is,"$7,243,669","$5,661,798",78.2%,"$1,581,871",21.8%
161,Screwed,"$7,201,701","$7,027,345",97.6%,"$174,356",2.4%
162,La veuve de Saint-Pierre,"$7,193,889","$3,193,889",44.4%,"$4,000,000",55.6%
163,Croupier,"$7,075,068","$6,201,143",87.6%,"$873,925",12.4%
164,Duets,"$6,620,242","$4,739,023",71.6%,"$1,881,219",28.4%
165,Now or Never,"$5,995,963",-,-,"$5,995,963",100%
166,Black & White,"$5,541,431","$5,277,299",95.2%,"$264,132",4.8%
167,The In Crowd,"$5,280,035","$5,280,035",100%,-,-
168,The House of Mirth,"$5,164,404","$3,043,284",58.9%,"$2,121,120",41.1%
169,Otto - Der Katastrofenfilm,"$5,058,355",-,-,"$5,058,355",100%
170,Whipped,"$4,775,009","$4,159,986",87.1%,"$615,023",12.9%
171,Held Up,"$4,705,631","$4,705,631",100%,-,-
172,The Jungle Book 2000 Re-release,"$4,466,472",-,-,"$4,466,472",100%
173,The Tao of Steve,"$4,406,030","$4,342,203",98.6%,"$63,827",1.4%
174,Mohabbatein,"$4,279,351","$1,070,000",25%,"$3,209,351",75%
175,East Is East,"$4,177,818","$4,177,818",100%,-,-
176,Bossa Nova,"$4,069,261","$1,823,297",44.8%,"$2,245,964",55.2%
177,Erkan & Stefan,"$4,026,949",-,-,"$4,026,949",100%
178,Pettson & Findus - Katten och gubbens år,"$3,920,489",-,-,"$3,920,489",100%
179,Up at the Villa,"$3,740,113","$2,933,161",78.4%,"$806,952",21.6%
180,The Big Kahuna,"$3,728,888","$3,165,544",84.9%,"$563,344",15.1%
181,Price of Glory,"$3,548,556","$3,440,228",96.9%,"$108,328",3.1%
182,Gun Shy,"$3,221,280","$1,638,202",50.9%,"$1,583,078",49.1%
183,Beautiful,"$3,169,930","$3,157,348",99.6%,"$12,582",0.4%
184,Isn't She Great,"$3,003,296","$2,962,465",98.6%,"$40,831",1.4%
185,No More School,"$2,870,533",-,-,"$2,870,533",100%
186,Flickering Lights,"$2,760,019",-,-,"$2,760,019",100%
187,The Color of Paradise,"$2,724,595","$1,817,216",66.7%,"$907,379",33.3%
188,God's Army,"$2,637,726","$2,637,726",100%,-,-
189,But I'm a Cheerleader,"$2,595,216","$2,205,627",85%,"$389,589",15%
190,Bamboozled,"$2,463,650","$2,274,979",92.3%,"$188,671",7.7%
191,East/West,"$2,321,029","$2,321,029",100%,-,-
192,Shower,"$2,150,929","$1,157,764",53.8%,"$993,165",46.2%
193,Left Luggage,"$2,111,280","$1,069,540",50.7%,"$1,041,740",49.3%
194,Blood Simple 2000 Re-release,"$2,068,701","$1,701,855",82.3%,"$366,846",17.7%
195,Marlene,"$2,061,924",-,-,"$2,061,924",100%
196,Hamlet,"$2,046,433","$1,577,287",77.1%,"$469,146",22.9%
197,The Broken Hearts Club: A Romantic Comedy,"$2,019,121","$1,746,585",86.5%,"$272,536",13.5%
198,Cecil B. Demented,"$1,961,544","$1,284,646",65.5%,"$676,898",34.5%
199,The Life and Times of Hank Greenberg,"$1,712,385","$1,712,385",100%,-,-
200,The Girl on the Bridge,"$1,708,839","$1,708,839",100%,-,-
201,Rear Window 2000 Re-release,"$1,699,210","$1,574,607",92.7%,"$124,603",7.3%
202,Girlfight,"$1,666,028","$1,565,852",94%,"$100,176",6%
203,A Hard Day's Night,"$1,664,617","$965,351",58%,"$699,266",42%
